Computed in WSL

# pipes:  9
0 geometry_built, time used:  21.18040633201599
0 number of points:  7826
        residual = 0.13559202415395571, iter = 20,      time = 0.0 mins
        residual = 0.0906350204187511,  iter = 40,      time = 0.0 mins
        residual = 0.0552597292272184,  iter = 60,      time = 0.0 mins
        residual = 3.446940070309174e-05,       iter = 80,      time = 0.0 mins
        residual = 0.134886303885109,   iter = 20,      time = 0.0 mins
        residual = 0.08962283644549573, iter = 40,      time = 0.0 mins
        residual = 0.055301511099089574,        iter = 60,      time = 0.0 mins
        residual = 3.4516179743718695e-05,      iter = 80,      time = 0.0 mins
0 solver built, time used:  24.39384961128235 n omegas:  2

/home/haiy/pkg/fmm2d/python/fmm2dpy/fmm2d.py:894: ComplexWarning: Casting complex values to real discards the imaginary part
  out.pottarg,out.gradtarg,out.ier = lfmm.cfmm2d_t_d_g(eps,sources,dipstr,targets)
1 geometry_built, time used:  10.058908224105835
1 number of points:  2769
        residual = 0.044901831069373836,        iter = 20,      time = 0.0 mins
        residual = 0.0011114529689399634,       iter = 40,      time = 0.0 mins
1 solver built, time used:  0.8002734184265137 n omegas:  1

2 geometry_built, time used:  33.42968535423279
2 number of points:  11583
        residual = 0.06814430076557226, iter = 20,      time = 0.0 mins
        residual = 0.05986203262621963, iter = 40,      time = 0.0 mins
        residual = 0.050174288547419274,        iter = 60,      time = 0.0 mins
        residual = 0.023342520570918946,        iter = 80,      time = 0.0 mins
        residual = 0.019660642695242425,        iter = 100,     time = 0.0 mins
        residual = 0.0004739586695570461,       iter = 120,     time = 0.0 mins
        residual = 4.232452000000019e-10,       iter = 140,     time = 0.0 mins
        residual = 0.059373183436234975,        iter = 20,      time = 0.0 mins
        residual = 0.05082587861987367, iter = 40,      time = 0.0 mins
        residual = 0.023559975373468142,        iter = 60,      time = 0.0 mins
        residual = 0.0003657722550774782,       iter = 80,      time = 0.0 mins
        residual = 9.890130444561129e-05,       iter = 100,     time = 0.0 mins
        residual = 3.2880617765463147e-07,      iter = 120,     time = 0.0 mins
        residual = 7.127248196294259e-10,       iter = 140,     time = 0.0 mins
        residual = 2.4698400717631303e-11,      iter = 160,     time = 0.0 mins
        residual = 1.9735361913863268e-11,      iter = 180,     time = 0.0 mins
        residual = 1.760065978080558e-11,       iter = 200,     time = 0.0 mins
2 solver built, time used:  60.38603210449219 n omegas:  2

3 geometry_built, time used:  36.46958088874817
3 number of points:  14586
        residual = 0.10119229566357318, iter = 20,      time = 0.0 mins
        residual = 0.08538024857279276, iter = 40,      time = 0.0 mins
        residual = 0.07225969751439333, iter = 60,      time = 0.0 mins
        residual = 0.06641114839934827, iter = 80,      time = 0.0 mins
        residual = 0.06056185033564241, iter = 100,     time = 0.0 mins
        residual = 0.059421930391358575,        iter = 120,     time = 0.0 mins
        residual = 0.05815645432437024, iter = 140,     time = 0.0 mins
        residual = 0.05707502289786603, iter = 160,     time = 0.0 mins
        residual = 0.055076724217690394,        iter = 180,     time = 0.0 mins
        residual = 0.053276754241204365,        iter = 200,     time = 0.0 mins
        residual = 0.02558905815296124, iter = 220,     time = 0.0 mins
        residual = 0.007573820108012036,        iter = 240,     time = 0.0 mins
        residual = 0.00031648987303856656,      iter = 260,     time = 0.0 mins
        residual = 1.5664933948040984e-10,      iter = 280,     time = 0.0 mins
        residual = 0.12862402461161848, iter = 20,      time = 0.0 mins
        residual = 0.08717869509098472, iter = 40,      time = 0.0 mins
        residual = 0.07731006805416095, iter = 60,      time = 0.0 mins
        residual = 0.07480952865790373, iter = 80,      time = 0.0 mins
        residual = 0.06938699333610944, iter = 100,     time = 0.0 mins
        residual = 0.06491547723518022, iter = 120,     time = 0.0 mins
        residual = 0.06263814315332865, iter = 140,     time = 0.0 mins
        residual = 0.060895977625956596,        iter = 160,     time = 0.0 mins
        residual = 0.054666363199428566,        iter = 180,     time = 0.0 mins
        residual = 0.04316861120949037, iter = 200,     time = 0.0 mins
        residual = 0.03312709569303926, iter = 220,     time = 0.0 mins
        residual = 6.086382613195148e-05,       iter = 240,     time = 0.0 mins
        residual = 2.6976230091071823e-05,      iter = 260,     time = 0.0 mins
        residual = 0.105256635576102,   iter = 20,      time = 0.0 mins
        residual = 0.07759440000063657, iter = 40,      time = 0.0 mins
        residual = 0.06869455035918118, iter = 60,      time = 0.0 mins
        residual = 0.06463759228788181, iter = 80,      time = 0.0 mins
        residual = 0.05918227561484774, iter = 100,     time = 0.0 mins
        residual = 0.05011221128995857, iter = 120,     time = 0.0 mins
        residual = 0.032649182550393493,        iter = 140,     time = 0.0 mins
        residual = 0.03151557000765547, iter = 160,     time = 0.0 mins
        residual = 0.030992161167058087,        iter = 180,     time = 0.0 mins
        residual = 0.0219425131825913,  iter = 200,     time = 0.0 mins
        residual = 0.005749854948732928,        iter = 220,     time = 0.0 mins
        residual = 0.0007738750849127072,       iter = 240,     time = 0.0 mins
        residual = 3.1859880181896943e-06,      iter = 260,     time = 0.0 mins
        residual = 1.8900086710058106e-10,      iter = 280,     time = 0.0 mins
        residual = 4.8837639568440136e-11,      iter = 300,     time = 0.0 mins
        residual = 4.452045851887032e-11,       iter = 320,     time = 0.0 mins
        residual = 4.29874977464429e-11,        iter = 340,     time = 0.0 mins
        residual = 4.133193616958602e-11,       iter = 360,     time = 0.0 mins
        residual = 3.9778983888425186e-11,      iter = 380,     time = 0.0 mins
        residual = 3.905655576477141e-11,       iter = 400,     time = 0.0 mins
        residual = 3.6187600490893014e-11,      iter = 420,     time = 1.0 mins
        residual = 3.509340451216116e-11,       iter = 440,     time = 1.0 mins
        residual = 3.3810197941720326e-11,      iter = 460,     time = 1.0 mins
        residual = 3.32565448742967e-11,        iter = 480,     time = 1.0 mins
